1672302721,Iphone 1,23000.0,5,2022-12-20 08:30:45
1672302722,Iphone 2,50000.0,5,2022-12-20 08:30:45
1672302723,Iphone 3,23000.0,5,2022-12-20 08:30:45
1672302724,Iphone 4,50000.0,5,2022-12-20 08:30:45
1672302725,Iphone 5,23000.0,5,2022-12-20 08:30:45
1672302726,Iphone 6,50000.0,5,2022-12-20 08:30:45
1672302727,Iphone 7,23000.0,5,2022-12-20 08:30:45
1672302728,Iphone 8,50000.0,5,2022-12-20 08:30:45
1672302729,Iphone 9,23000.0,5,2022-12-20 08:30:45
1672302730,Iphone 10,23000.0,5,2022-12-20 08:30:45
1672302731,Iphone 11,23000.0,5,2022-12-20 08:30:45
